Citroen;C3;1.0 FIREFLY FLEX LIVE PACK MANUAL;N/A;N/A;56805;68160;Campinas
Chevrolet;Onix;1.0 FLEX MANUAL;N/A;N/A;46510;68290;Goiânia
Chevrolet;Onix;1.0 FLEX MANUAL;N/A;N/A;46789;68290;Contagem
Citroen;C3;1.0 16V FLEX LIVE PACK MANUAL;N/A;N/A;42171;68370;Maceió
Citroen;C3;1.0 16V FLEX LIVE PACK MANUAL;N/A;N/A;40164;68370;Niterói
Chevrolet;Onix;1.0 FLEX PLUS LT MANUAL;N/A;N/A;73222;68770;Taboão da Serra
Chevrolet;Onix;1.0 FLEX LT MANUAL;N/A;N/A;56331;69820;Betim
Peugeot;208;1.0 6V FLEX LIKE MANUAL;N/A;N/A;51498;69940;Osasco
Peugeot;208;1.0 6V FLEX LIKE MANUAL;N/A;N/A;40240;70150;Santa Maria
Chevrolet;Onix;1.0 FLEX MANUAL;N/A;N/A;54253;70500;São Paulo
Volkswagen;Polo;1.0 MPI MANUAL;N/A;N/A;63094;70940;Contagem
Chevrolet;Onix;1.0 FLEX LT MANUAL;N/A;N/A;47557;71130;Contagem
Chevrolet;Onix;1.0 FLEX LT MANUAL;N/A;N/A;57213;71220;Osasco
Hyundai;Hb20;1.0 12V FLEX SENSE PLUS MANUAL;N/A;N/A;58195;71250;São Paulo
Volkswagen;Polo;1.0 MPI MANUAL;N/A;N/A;67168;71270;São José
Chevrolet;Onix;1.0 FLEX MANUAL;N/A;N/A;43700;71430;São Luis
Hyundai;Hb20;1.0 12V FLEX SENSE PLUS MANUAL;N/A;N/A;41233;71470;Serra
Volkswagen;Saveiro;1.6 MSI ROBUST CS 16V FLEX 2P MANUAL;N/A;N/A;22333;72180;Cuiabá
Volkswagen;Polo;1.0 MPI TRACK MANUAL;N/A;N/A;56560;72300;Curitiba
Volkswagen;Polo;1.0 MPI TRACK MANUAL;N/A;N/A;62000;72310;Belém
Chevrolet;Onix;1.0 FLEX LT MANUAL;N/A;N/A;53827;73820;Joinville
Fiat;Strada;1.4 FIRE FLEX ENDURANCE CS MANUAL;N/A;N/A;56119;74300;Uberlândia
Chevrolet;Onix;1.0 FLEX PLUS LT MANUAL;N/A;N/A;71195;74380;Bauru
Chevrolet;Onix;1.0 FLEX PLUS LT MANUAL;N/A;N/A;73875;74380;São Paulo
Volkswagen;Polo;1.0 MPI TRACK MANUAL;N/A;N/A;42427;74530;Sorocaba
Peugeot;208;1.6 16V FLEX ACTIVE AT6;N/A;N/A;57000;75450;Salvador
Chevrolet;Onix;1.0 FLEX PLUS LT MANUAL;N/A;N/A;33978;75500;Curitiba
Volkswagen;Polo;1.0 MPI TRACK MANUAL;N/A;N/A;39177;75590;Salvador
Volkswagen;Polo;1.0 170 TSI MANUAL;N/A;N/A;60000;75600;Niterói
Volkswagen;Polo;1.0 MPI MANUAL;N/A;N/A;56809;76650;Betim
Fiat;Strada;1.4 FIRE FLEX ENDURANCE CS MANUAL;N/A;N/A;52000;76940;Uberlândia
Volkswagen;Polo;1.0 MPI MANUAL;N/A;N/A;49857;77660;João Pessoa
Chevrolet;Onix;1.0 FLEX PLUS LT MANUAL;N/A;N/A;44093;78350;Belo Horizonte
Chevrolet;Onix;1.0 FLEX PLUS LT MANUAL;N/A;N/A;46410;78350;Fortaleza
Hyundai;Hb20s;1.0 12V FLEX COMFORT MANUAL;N/A;N/A;58000;79690;Salvador
Volkswagen;Saveiro;1.6 MSI ROBUST CS 16V FLEX 2P MANUAL;N/A;N/A;64224;80570;Mogi das Cruzes
Hyundai;Hb20s;1.0 TGDI FLEX EDIÇÃO ESPECIAL AUTOMÁTICO;N/A;N/A;57665;81440;Canoas
Citroen;C4 Cactus;1.6 VTI 120 FLEX FEEL EAT6;N/A;N/A;55270;81820;Cascavel
Chevrolet;Onix;1.0 TURBO FLEX PLUS LTZ AUTOMÁTICO;N/A;N/A;47024;83930;João Pessoa
Fiat;Cronos;1.3 FIREFLY FLEX DRIVE CVT;N/A;N/A;51676;84120;Betim
Chevrolet;Onix;1.0 TURBO FLEX PLUS LTZ AUTOMÁTICO;N/A;N/A;61255;84340;Joinville
Chevrolet;Onix;1.0 TURBO FLEX PLUS LTZ AUTOMÁTICO;N/A;N/A;59642;86300;Curitiba
Fiat;Pulse;1.0 TURBO 200 FLEX DRIVE CVT;N/A;N/A;62079;88160;Ribeirão Preto
Fiat;Pulse;1.0 TURBO 200 FLEX DRIVE CVT;N/A;N/A;60305;88160;Cascavel
Hyundai;Hb20;1.0 TGDI FLEX COMFORT AUTOMÁTICO;N/A;N/A;56421;88680;São José do Rio Preto
Hyundai;Hb20;1.0 TGDI FLEX COMFORT PLUS AUTOMÁTICO;N/A;N/A;50702;88680;São José do Rio Preto
Fiat;Cronos;1.3 FIREFLY FLEX DRIVE CVT;N/A;N/A;49950;89200;Rio de Janeiro
